Image,Description,Ground Truth,Image Path
,"DESCRIPTION: The image shows a long, empty road with two cars parked on the side. The road appears to be in a rural area with trees and grass on both sides. On the left side of the road, there is a white car parked next to a black car. The sky is blue and there are a few clouds in the sky. The image is taken from a high angle, looking down on the road and the cars. There is a sign on the right side that reads ""No Parking"". LABELS: The road, a white car, The sky, a sign, Sheriff's Office car, white SUV, wheel","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post. On the left side of the road, there is a white car driving. On the right hand side, there is a grey car that says ""protective force"". ",downloaded_images_W023/2024-09-14 17:05:33.736409722+00:00.jpg
,"DESCRIPTION: The image shows a long, straight road with a car parked on the right side. The road appears to be in a residential area with trees and bushes on both sides. The sky is blue and there are no clouds visible. On the left side of the road, there is a grassy area with a few trees and shrubs. There is a street sign and a street lamp on the left lane. The car is black and is parked in the center of the image. The image is taken from a high angle, looking down on the road. LABELS: The road, The sky, a grassy area, a street sign, The car, Sheriff's Office car, wheel","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post. On the right hand side, there is a grey car that says ""protective force"". ",downloaded_images_W023/2024-09-14 17:30:06.460369306+00:00.jpg
,"DESCRIPTION: The image shows a long, empty road with a police car parked on the right side. The road appears to be in a rural area with trees on both sides and a grassy area on the left side. There is a street lamp on the side of the road and a sign on the sidewalk. The sky is overcast and the overall mood of the image is gloomy. LABELS: police car, The road, a street lamp, The sky, wheel","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post. On the right hand side, there is a grey car that says ""protective force"". ",downloaded_images_W023/2024-09-14 23:45:06.141858306+00:00.jpg
,"DESCRIPTION: The image is a black and white aerial view of a street at night. The street is empty and there are no cars or people visible. On the right side of the image, there is a police car parked on the side of a road. The car appears to be a newer model with a sleek design. The road is lined with trees on both sides and there is an empty parking lot on the left side. The sky is dark and the street is lit up by streetlights. There is a sign on the sidewalk that reads ""No Parking"". LABELS: a police car, The car, The road, an empty parking lot, The sky, a sign, police car at night with flashing lights, wheel","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post. On the right hand side, there is a grey car that says ""protective force"". It is night",downloaded_images_W023/2024-09-16 02:30:06.873718825+00:00.jpg
,"DESCRIPTION: The image shows a long, straight road with multiple cars parked on the side. The road appears to be in a rural area with trees and grass on both sides. There is a street lamp on the right side of the road and a sign on the left side. In the center of the image, there is a white car and a black car. The sky is blue and there are no other cars or people visible in the image. The image is taken from a high angle, looking down on the road. LABELS: The road, a street lamp, a white car, The sky, black Jeep Wrangler with roof rack on grassy field, Tesla Model S black car, SUV with roof rails on road, street light, SUV on road with trees in background, wheel","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post. On the left hand side, there are three cars. On the right hand side, there is a rough terrain vehicle",downloaded_images_W023/2024-09-16 16:32:26.333727817+00:00.jpg
,"DESCRIPTION: The image shows a long, straight road with multiple lanes. The road is surrounded by trees on both sides and there is a grassy area on the left side of the road. On the right side, there are two cars parked on the side. In the center of the image, there is an empty parking lot with a black SUV and a black jeep parked next to it. The sky is blue and there are a few clouds in the sky. The image appears to be taken from a high angle, looking down on the road and the cars. LABELS: a grassy area, two cars, an empty parking lot, The sky, black Jeep Wrangler with blue roof rack, black SUV, black car with license plate, wheel, car","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post. On the left hand side, there are two cars. On the right hand side, there is a rough terrain vehicle",downloaded_images_W023/2024-09-16 16:36:26.321569429+00:00.jpg
,"DESCRIPTION: The image shows a long, straight road with a black jeep parked on the right side. The road appears to be in a rural area with trees and bushes on both sides. The sky is blue and there are a few clouds in the sky. On the left side of the road, there is a grassy area with a few trees and shrubs. There is a street sign on the left lane and a street lamp on the top right corner. The image is taken from a high angle, looking down the road towards the horizon. LABELS: jeep, The road, The sky, a grassy area, a street sign, street lamp, black off-road vehicle with roof rack, wheel","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post. On the right hand side, there is a rough terrain vehicle",downloaded_images_W023/2024-09-16 16:40:26.321619596+00:00.jpg
,"DESCRIPTION: The image shows a long, straight road with a few trees on both sides. On the left side of the road, there is a grassy area with trees and bushes on the right side. In the center of the image, there are two trucks, one green and one white, driving on the road. The green truck is on the left and the white truck is in the middle. The road appears to be empty, with no cars or people visible in the image. There is a black jeep parked on the side of one of the trucks. The sky is blue and there are a few clouds in the sky. LABELS: a grassy area, two trucks, The green truck, The road, a black jeep, The sky, black mini golf cart, street light, truck with food truck on road, wheel","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post. On the left hand side, there is a truck. On the right hand side, there is a rough terrain vehicle",downloaded_images_W023/2024-09-16 16:44:16.326237515+00:00.jpg
,"DESCRIPTION: The image shows a long, empty road with a black jeep parked on the right side. The road appears to be in a rural area with trees and bushes on both sides. The sky is blue and there are no clouds visible. On the left side of the road, there is a grassy area with a few trees and shrubs. There is a street sign on the left lane and a street lamp on the top right corner. The image is taken from a high angle, looking down the road towards the horizon. LABELS: jeep, The road, The sky, a grassy area, a street sign, street lamp, black utility vehicle, wheel","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post. On the right hand side, there is a rough terrain vehicle",downloaded_images_W023/2024-09-16 17:14:46.082155832+00:00.jpg
,"DESCRIPTION: The image shows a long, straight road with a black jeep parked on the right side. The road appears to be in a residential area with trees and bushes on both sides. The sky is blue and there are a few clouds in the sky. On the left side of the road, there is a grassy area with a few trees and shrubs. There is a street sign on the left lane and a street lamp on the top right corner. The image is taken from a high angle, looking down on the road. LABELS: jeep, The road, The sky, a grassy area, a street sign, street lamp, black utility vehicle with roof rack and spare tire, wheel","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post. On the right hand side, there is a rough terrain vehicle",downloaded_images_W023/2024-09-16 17:30:35.851819065+00:00.jpg
,"DESCRIPTION: The image shows a long, straight road with a black jeep parked on the right side. The road appears to be in a residential area with trees and bushes on both sides. The sky is blue and there are no clouds visible. On the left side of the road, there is a grassy area with a few trees and shrubs. There is a street lamp on the left lane and a no parking sign on the sidewalk. The jeep is parked in the middle of the street and is facing towards the right. LABELS: The road, The sky, a grassy area, a street lamp, The jeep, black utility vehicle with roof rack and spare tire, wheel","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post. On the right hand side, there is a rough terrain vehicle",downloaded_images_W023/2024-09-16 17:54:26.295191929+00:00.jpg
,"DESCRIPTION: The image shows a long, empty road with multiple lanes. On the left side of the road, there is a grassy area with trees and bushes on both sides. In the center of the image, there are three cars - a silver car, a black car, and a black jeep. The road appears to be in a rural area, as there are no other cars or people visible in the image. The sky is blue and the overall atmosphere is peaceful and serene. LABELS: a grassy area, three cars, a silver car, a black car, a black jeep, The road, The sky, silver Toyota Camry on road, black utility vehicle with roof rack and spare tire, street light, black SUV, wheel","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post.  Three cars are driving away. On the right hand side, there is a rough terrain vehicle",downloaded_images_W023/2024-09-16 18:04:05.936099252+00:00.jpg
,"DESCRIPTION: The image shows a long, empty road with a curved curve in the middle. The road appears to be in a residential area, as there are trees and bushes on both sides of the road. The sky is blue and there are a few clouds visible. On the right side of the image, there is a street lamp and a signpost. The ground is covered in grass and there is another street visible in the background. The image is taken from a high angle, looking down the road towards the horizon. LABELS: The road, trees, The sky, a street lamp, The ground, another street","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post.",downloaded_images_W023/2024-09-16 18:16:06.117706500+00:00.jpg
,"DESCRIPTION: The image shows a long, empty road with a white car parked on the side. The road appears to be in a rural area with trees and grass on both sides. The sky is blue and there are a few clouds in the sky. On the right side of the road, there is a street lamp and a signpost. The car is white and is driving towards the left side. There are no other cars or people visible in the image. The image appears to have been taken from a high angle, looking down the road. LABELS: The road, The sky, a street lamp, The car, no other cars, white car with license plate on road, wheel","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post. On the left hand side, there is a car",downloaded_images_W023/2024-09-16 18:23:45.916551476+00:00.jpg
,"DESCRIPTION: The image shows a long, empty road with a curved curve in the middle. The road is surrounded by trees and shrubs on both sides, and there is a grassy area on the left side of the road. The sky is blue and there are a few clouds in the sky. On the right side, there are two street lamps and a signpost. The image appears to be taken from a high vantage point, looking down the road towards the horizon. LABELS: a grassy area, The sky, two street lamps","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post.",downloaded_images_W023/2024-09-16 18:38:45.861860657+00:00.jpg
,"DESCRIPTION: The image shows a long, empty road with a curved curve in the middle. The road is surrounded by trees and shrubs on both sides. On the left side of the road, there is a grassy area with a few trees and bushes. The sky is blue and there are a few clouds in the distance. The image appears to be taken from a high vantage point, looking down the road towards the horizon. There is a street lamp on the right side and a sign on the left. The overall mood of the image is peaceful and serene. LABELS: a grassy area, The sky, a street lamp","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post.",downloaded_images_W023/2024-09-16 18:42:25.537857684+00:00.jpg
,"DESCRIPTION: The image shows a long, straight road with a red car driving on it. The road appears to be in a rural area with trees and bushes on both sides. The sky is blue and there are a few clouds visible in the distance. On the left side of the road, there is a grassy area with a few trees and shrubs. There is a street lamp on the right side and a sign on the left. The image is taken from a high angle, looking down the road towards the car. LABELS: The road, The sky, a grassy area, a street lamp, A black car driving down a road with trees in the background.","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post. On the right hand side, there is a car driving away",downloaded_images_W023/2024-09-16 18:49:45.937663369+00:00.jpg
,"DESCRIPTION: The image shows a long, straight road with a few trees on both sides. The road appears to be in a residential area, as there are no cars or people visible in the image. On the right side of the road, there is a black utility vehicle parked on the side. The sky is blue and there are a few clouds in the distance. The trees on the left and right sides of the image are green, indicating that the photo was taken during the day. LABELS: The road, a black utility vehicle, The sky, The trees, black utility vehicle, wheel","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post. On the right hand side, there is a rough terrain vehicle",downloaded_images_W023/2024-09-16 19:08:46.264998221+00:00.jpg
,"DESCRIPTION: The image shows a long, straight road with a few trees on both sides. The road appears to be in a residential area, as there are no cars or people visible in the image. The sky is blue and there are a few clouds in the sky. On the right side of the road, there is a street lamp and a signpost. The ground is covered in grass and there is another street visible on the left side. The image is taken from a high angle, looking down the road towards the horizon. LABELS: The road, The sky, a street lamp, The ground, another street","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post.",downloaded_images_W023/2024-09-20 19:25:55.687782442+00:00.jpg
,"DESCRIPTION: The image shows a long, straight road with a white line on the right side. The road appears to be in a rural area with trees and bushes on both sides. On the left side of the road, there is a grassy area with a few trees and shrubs. The sky is blue and there are a few clouds in the distance. The image is taken from a high angle, looking down the road towards the horizon. There is a street sign on the left lane and a street lamp on the sidewalk. The overall mood of the image is peaceful and serene. LABELS: The road, a grassy area, The sky, a street sign","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post.",downloaded_images_W023/2024-09-20 19:55:56.231261021+00:00.jpg
,"DESCRIPTION: The image shows a long, straight road with a few trees on both sides. The road appears to be in a residential area, as there are no cars or people visible on the road. The sky is blue and there are a few clouds in the sky. On the right side of the road, there is a street lamp and a signpost. The ground is covered in grass and there is an empty parking lot on the left side. The image is taken from a high angle, looking down the road towards the horizon. LABELS: The road, The sky, a street lamp, The ground, an empty parking lot","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post.",downloaded_images_W023/2024-09-20 19:59:35.890806847+00:00.jpg
,"DESCRIPTION: The image shows a long, empty road with a few cars driving on it. The road appears to be in a rural area with trees and bushes on both sides. The sky is blue and there are a few clouds visible. On the right side of the road, there is a street lamp and a signpost. The ground is covered in grass and there is an arrow pointing to the right. The image is taken from a high angle, looking down the road towards the horizon. LABELS: The road, The sky, a street lamp, The ground, an arrow pointing","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post. On the right hand side, there is a car in the distance. ",downloaded_images_W023/2024-09-20 20:10:56.206954240+00:00.jpg
,"DESCRIPTION: The image shows an aerial view of a long, straight road with two cars parked on the side. The road appears to be in a rural area with trees and bushes on both sides. The sky is blue and there are a few clouds visible. On the left side of the road, there is a grassy area with a few trees and shrubs. In the center of the image, there are two cars, one black and one silver, driving on the road. There is a street lamp on the right side and a sign on the left. The image is taken from a high angle, looking down on the two cars. LABELS: The road, The sky, a grassy area, two cars, a street lamp, Silver Dodge Charger on road, black pickup truck on road, wheel","The image shows a road with trees and grass on both sides. On one side of the road, there are signs facing away from the camera. On the other side, there is a lamp post. On the right hand side, there are two cars.",downloaded_images_W023/2024-09-20 20:38:56.021457054+00:00.jpg
